ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	n_DE_KOs	contrast
ko:K00799	ko:K00799	38/561	327/59114	2.28284165426885e-29	5.47881997024524e-27	38	SC_vs_ST_up
ko:K15095	ko:K15095	14/561	61/59114	6.12205638827404e-16	7.34646766592885e-14	14	SC_vs_ST_up
ko:K20547	ko:K20547	9/561	22/59114	2.61092123173841e-13	2.08873698539073e-11	9	SC_vs_ST_up
ko:K20547	ko:K20547	7/312	22/59114	1.69955747533258e-11	2.78727425954544e-09	7	RC_vs_RT_up
ko:K08249	ko:K08249	7/312	25/59114	4.72588306825307e-11	3.87522411596752e-09	7	RC_vs_RT_up
ko:K14184	ko:K14184	8/561	32/59114	5.39018054594674e-10	2.83778853854676e-08	8	SC_vs_ST_up
ko:K00430	ko:K00430	18/561	292/59114	5.91205945530574e-10	2.83778853854676e-08	18	SC_vs_ST_up
ko:K13464	ko:K13464	7/312	36/59114	7.80880792993817e-10	4.26881500169953e-08	7	RC_vs_RT_up
ko:K13464	ko:K13464	8/561	36/59114	1.49988468767032e-09	5.99953875068127e-08	8	SC_vs_ST_up
ko:K01183	ko:K01183	10/561	80/59114	4.96997743679723e-09	1.70399226404476e-07	10	SC_vs_ST_up
ko:K15803	ko:K15803	8/561	44/59114	8.21857980730065e-09	2.46233261011705e-07	8	SC_vs_ST_up
ko:K05280	ko:K05280	5/561	9/59114	9.23374728793894e-09	2.46233261011705e-07	5	SC_vs_ST_up
ko:K01183	ko:K01183	8/312	80/59114	1.14755996117185e-08	4.70499584080457e-07	8	RC_vs_RT_up
ko:K15283	ko:K15283	6/561	21/59114	3.41997325772769e-08	8.20793581854646e-07	6	SC_vs_ST_up
ko:K15095	ko:K15095	7/312	61/59114	3.64551939329088e-08	1.19573036099941e-06	7	RC_vs_RT_up
ko:K13424	ko:K13424	5/561	12/59114	5.66879144739109e-08	1.23682722488533e-06	5	SC_vs_ST_up
ko:K05280	ko:K05280	4/312	9/59114	9.39335230494182e-08	2.5675162966841e-06	4	RC_vs_RT_up
ko:K16297	ko:K16297	7/312	82/59114	2.88982634486014e-07	6.77045029367233e-06	7	RC_vs_RT_up
ko:K13496	ko:K13496	6/561	30/59114	3.48050518007333e-07	6.96101036014667e-06	6	SC_vs_ST_up
ko:K05909	ko:K05909	7/561	49/59114	4.06345273441792e-07	7.50175889431001e-06	7	SC_vs_ST_up
ko:K03549	ko:K03549	6/312	58/59114	6.6199225406575e-07	1.35708412083479e-05	6	RC_vs_RT_up
ko:K13416	ko:K13416	4/561	9/59114	9.73707455953935e-07	1.66921278163532e-05	4	SC_vs_ST_up
ko:K16297	ko:K16297	8/561	82/59114	1.20529638861064e-06	1.92847422177702e-05	8	SC_vs_ST_up
ko:K00799	ko:K00799	11/312	327/59114	1.64030632380045e-06	2.98900263448082e-05	11	RC_vs_RT_up
ko:K17471	ko:K17471	5/561	24/59114	2.76880782343993e-06	4.1532117351599e-05	5	SC_vs_ST_up
ko:K00487	ko:K00487	3/312	6/59114	2.87833167212676e-06	4.72046394228789e-05	3	RC_vs_RT_up
ko:K08081	ko:K08081	5/312	46/59114	4.55307178859197e-06	6.78821612117348e-05	5	RC_vs_RT_up
ko:K08081	ko:K08081	6/561	46/59114	4.82772907543995e-06	6.81561751826816e-05	6	SC_vs_ST_up
ko:K05894	ko:K05894	5/561	27/59114	5.1367583504648e-06	6.84901113395306e-05	5	SC_vs_ST_up
