Sample	Total_Reads	Passed_Filter	Failed_QC	Duplication	Q30_Rate
1RC	56221436	56207020	14416	17.48	93.55
1RT	51701264	51686384	14880	13.26	93.03
1SC	129727090	129702272	24818	26.7	93.81
1ST	56098002	56084328	13674	14.71	93.74
2RC	60920522	60903086	17436	14.65	92.46
2RT	55978586	55964122	14464	15.59	93.81
2SC	58491788	58467366	24422	14.57	93.44
2ST	49634086	49618900	15186	14.21	93.23
3RC	58939148	58923166	15982	14.55	93.67
3RT	47620360	47606554	13806	15.23	91.74
3SC	74032240	74010122	22118	14.85	93.33
3ST	50342174	50331106	11068	21.97	93.38
