Sample	Total_Pairs	Aligned_0	Aligned_1	Aligned_multi	Discordant	Overall_rate
1RC	28103510	24.29%	33.39%	41.40%	0.91%	86.43%
1RT	25843192	24.98%	33.51%	40.64%	0.87%	85.82%
1SC	64851136	31.24%	29.53%	38.42%	0.81%	79.35%
1ST	28042164	32.58%	29.27%	37.44%	0.71%	76.46%
2RC	30451543	27.45%	32.99%	38.63%	0.93%	83.50%
2RT	27982061	23.24%	33.85%	42.12%	0.80%	86.85%
2SC	29233683	34.32%	27.60%	37.54%	0.54%	74.38%
2ST	24809450	28.21%	31.93%	38.95%	0.91%	82.91%
3RC	29461583	23.71%	33.63%	41.86%	0.80%	86.74%
3RT	23803277	24.35%	33.29%	41.52%	0.85%	86.36%
3SC	37005061	27.28%	31.11%	40.97%	0.64%	82.25%
3ST	25165553	35.80%	28.63%	34.85%	0.72%	72.96%
