Sample	Reads_Aligned	Total_Alignments	Aligned_to_Genes	Not_Aligned	Exonic	Intronic	Intergenic	Bias_5_3
1RC	48,581,807	111,018,795	12,574,206	7,625,213	58%	13.84%	28.16%	1.57
1RT	44,358,588	100,448,197	11,757,805	7,327,796	58.77%	14.58%	26.65%	1.57
1SC	102,924,390	239,681,022	27,832,697	26,777,882	62.52%	12.48%	25%	1.8
1ST	42,882,466	98,668,548	11,021,005	13,201,862	58.55%	14.81%	26.65%	1.57
2RC	50,852,816	113,687,458	13,296,642	10,050,270	56.85%	14.3%	28.85%	1.48
2RT	48,607,007	111,246,299	12,445,565	7,357,115	57.46%	14.01%	28.53%	1.49
2SC	43,490,184	102,363,689	11,432,490	14,977,182	62.31%	15.08%	22.61%	1.68
2ST	41,137,740	92,914,212	10,961,020	8,481,160	59.33%	14.34%	26.34%	1.54
3RC	51,107,238	117,520,601	12,980,878	7,815,928	57.13%	15.88%	26.99%	1.44
3RT	41,112,487	94,179,935	11,019,284	6,494,067	60.25%	12.12%	27.63%	1.49
3SC	60,872,286	141,584,720	16,050,123	13,137,836	61.29%	14.99%	23.71%	1.64
3ST	36,720,466	83,658,681	8,768,822	13,610,640	52.94%	16.33%	30.73%	1.54
