Sample	Mapping_Rate	Num_Processed	Num_Mapped
1RC	88.83860770416221	28103510	24966767
1RT	88.55406870792122	25843192	22885198
1SC	90.17183754498919	64851136	58477461
1ST	86.54655182816846	28042164	24269526
2RC	86.90786539125456	30451543	26464786
2RT	88.34579411430774	27982061	24720974
2SC	87.20939130386	29233683	25494517
2ST	89.21194947892839	24809450	22132994
3RC	88.07477181385671	29461583	25948222
3RT	89.9204340646038	23803277	21404010
3SC	88.34238646438118	37005061	32691154
3ST	85.61888149249094	25165553	21546465
