transcript_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	eggnog_desc	diamond_desc	GO_terms	KEGG_KO	KEGG_pathway	COG_cat
NonamEVm002241t16	588.010661139524	-1.46694955746834	0.214573140032925	3.87672071560384e-13	3.89459239810278e-08	NA	sp|Q6YZX6|ACOHC_ORYSJ Putative aconitate hydratase, cytoplasmic OS=Oryza sativa subsp. japonica OX=39947 GN=Os08g0191100 PE=3 SV=1	NA	ko:K01681	ko00020,ko00630,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230	Aconitase,Aconitase_C
NonamEVm008430t5	89.1493887962277	-1.89292339718214	0.443789470674204	8.41058748827054e-07	0.00272560009567467	NA	sp|Q84V39|ALL10_OLEEU Major pollen allergen Ole e 10 OS=Olea europaea OX=4146 PE=1 SV=1	GO:0001871,GO:0003674,GO:0003824,GO:0004553,GO:0005488,GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005886,GO:0005975,GO:0008150,GO:0008152,GO:0008422,GO:0009987,GO:0015926,GO:0016020,GO:0016043,GO:0016787,GO:0016798,GO:0030246,GO:0030247,GO:0030312,GO:0031224,GO:0031225,GO:0031226,GO:0042973,GO:0044238,GO:0044425,GO:0044459,GO:0044464,GO:0045229,GO:0046658,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071944	NA	NA	Glyco_hydro_17,X8
NonamEVm046686t4	68.6743251610021	-2.39054465073234	0.573408922402934	1.27990944912774e-06	0.00357169397691173	NA	NA	NA	NA	NA	NA
NonamEVm001340t1	915.536067486648	-3.06478600819404	0.742418215147773	2.17362551259025e-06	0.00464605516213467	NA	sp|B5UBC1|PIKM1_ORYSJ Disease resistance protein Pikm1-TS OS=Oryza sativa subsp. japonica OX=39947 GN=PIKM1-TS PE=1 SV=1	NA	NA	NA	LRR_8,NB-ARC
NonamEVm012472t3	115.221860909683	-1.1776081082173	0.309606534408357	6.09505129388071e-06	0.00942022996976231	NA	sp|B0KZ40|PSY3_MAIZE Phytoene synthase 3, chloroplastic OS=Zea mays OX=4577 GN=PSY3 PE=1 SV=1	GO:0003674,GO:0003824,GO:0004310,GO:0004311,GO:0004337,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006066,GO:0006629,GO:0006694,GO:0006696,GO:0006720,GO:0006721,GO:0008150,GO:0008152,GO:0008202,GO:0008204,GO:0008299,GO:0008610,GO:0009058,GO:0009507,GO:0009536,GO:0009987,GO:0016108,GO:0016109,GO:0016114,GO:0016116,GO:0016117,GO:0016125,GO:0016126,GO:0016128,GO:0016129,GO:0016740,GO:0016765,GO:0016767,GO:0042440,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044107,GO:0044108,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046148,GO:0046165,GO:0051996,GO:0071704,GO:0097384,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1902652,GO:1902653	ko:K02291	ko00906,ko01062,ko01100,ko01110,map00906,map01062,map01100,map01110	SQS_PSY
NonamEVm020539t23	896.086004335942	-1.04592418270512	0.288428329242476	1.00843882251555e-05	0.0126635965685918	NA	sp|Q6K7E6|ERF1_ORYSJ Ethylene-responsive transcription factor 1 OS=Oryza sativa subsp. japonica OX=39947 GN=EREBP1 PE=1 SV=1	GO:0000160,GO:0001666,GO:0003032,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005886,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009593,GO:0009628,GO:0009719,GO:0009723,GO:0009725,GO:0009755,GO:0009873,GO:0009889,GO:0009987,GO:0010033,GO:0010467,GO:0010468,GO:0010556,GO:0016020,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0023052,GO:0031323,GO:0031326,GO:0032774,GO:0032870,GO:0034641,GO:0034645,GO:0034654,GO:0035556,GO:0036293,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051171,GO:0051239,GO:0051252,GO:0051606,GO:0051716,GO:0060255,GO:0065007,GO:0070482,GO:0070483,GO:0070887,GO:0071310,GO:0071369,GO:0071495,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000026,GO:2000112,GO:2000280,GO:2001141	ko:K09286	NA	AP2
NonamEVm007548t1	68.8533148226336	-2.35782249606781	0.653616275328403	1.1017496199825e-05	0.0131765319729836	NA	sp|Q93VV5|PTR16_ARATH Protein NRT1/ PTR FAMILY 4.3 OS=Arabidopsis thaliana OX=3702 GN=NPF4.3 PE=2 SV=1	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006857,GO:0008150,GO:0009605,GO:0009607,GO:0009624,GO:0015833,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0042886,GO:0043207,GO:0044425,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0051704,GO:0051707,GO:0055085,GO:0071702,GO:0071705,GO:0071944	ko:K14638	NA	PTR2
NonamEVm038191t3	14.9160889063429	-6.17850336038332	2.62425150732465	1.41145230827038e-05	0.0157551011490168	NA	NA	NA	NA	NA	NA
NonamEVm020539t20	28307.5698143474	-1.01299959696178	0.289494271925889	1.89374288820069e-05	0.0200260320306873	NA	sp|Q6K7E6|ERF1_ORYSJ Ethylene-responsive transcription factor 1 OS=Oryza sativa subsp. japonica OX=39947 GN=EREBP1 PE=1 SV=1	GO:0000160,GO:0001666,GO:0003032,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005886,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009593,GO:0009628,GO:0009719,GO:0009723,GO:0009725,GO:0009755,GO:0009873,GO:0009889,GO:0009987,GO:0010033,GO:0010467,GO:0010468,GO:0010556,GO:0016020,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0023052,GO:0031323,GO:0031326,GO:0032774,GO:0032870,GO:0034641,GO:0034645,GO:0034654,GO:0035556,GO:0036293,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051171,GO:0051239,GO:0051252,GO:0051606,GO:0051716,GO:0060255,GO:0065007,GO:0070482,GO:0070483,GO:0070887,GO:0071310,GO:0071369,GO:0071495,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000026,GO:2000112,GO:2000280,GO:2001141	ko:K09286	NA	AP2
NonamEVm061202t5	34.3753494106442	-2.18366239738803	0.632501292489267	2.1242093987456e-05	0.0212754967653223	NA	NA	NA	NA	NA	NA
